"Platform","Year_of_Release","Critic_Score","Critic_Count","User_Score","User_Count","ConsoleCompany","TargetAudience","Category","Sales"
"Wii","2006",57,16,5.6,7,"Nintendo","Children","Action",1.50755672288882
"X360","2006",81,65,7.6,38,"Xbox","Teen & Up","Sports",1.50755672288882
"3DS","2013",59,34,6.4,145,"Nintendo","Children","Action",2.04124145231932
"PS3","2011",58,34,7.1,47,"Sony","Teen & Up","Action",1.92450089729875
"DS","2005",66,13,7.6,28,"Nintendo","Children","Action",2.77350098112615
"PS2","2005",69,42,7.9,42,"Sony","Teen & Up","Action",1.56173761888606
"XOne","2015",80,18,6,81,"Xbox","Children","Sports",1.60128153805087
"Wii","2007",57,37,5.3,54,"Nintendo","Children","Misc",1.52498570332605
"GC","2002",64,25,6.9,20,"Nintendo","Teen & Up","Action",1.62221421130763
"X","2004",61,55,7.2,20,"Xbox","Teen & Up","Action",1.71498585142509
"Wii","2007",78,36,8.7,180,"Nintendo","Children","Big-Brain",1.92450089729875
"GC","2003",85,16,7.7,22,"Nintendo","Teen & Up","Big-Brain",1.69030850945703
"PS2","2005",77,38,8.3,53,"Sony","Teen & Up","Big-Brain",2.88675134594813
"X360","2011",78,71,6.2,82,"Xbox","Teen & Up","Action",1.82574185835055
"3DS","2011",65,69,6.4,110,"Nintendo","Teen & Up","Action",2.5
"X","2006",76,41,8.4,46,"Xbox","Teen & Up","Action",1.64398987305357
"3DS","2014",76,22,7.7,19,"Nintendo","Children","Misc",2.35702260395516
"DS","2009",61,12,5,8,"Nintendo","Children","Action",1.54303349962092
"DS","2006",56,7,7.3,4,"Nintendo","Children","Action",1.49071198499986
"PSP","2009",79,50,8.6,31,"Sony","Teen & Up","Misc",2.04124145231932
"PC","2010",72,26,6.4,518,"PC","Teen & Up","Action",2.23606797749979
"3DS","2011",43,37,4.4,24,"Nintendo","Children","Sports",1.92450089729875
"X360","2008",72,50,7.6,42,"Xbox","Teen & Up","Action",2.04124145231932
"GC","2001",69,20,7.4,23,"Nintendo","Teen & Up","Sports",1.66666666666667
"PS2","2003",57,30,6.4,8,"Sony","Teen & Up","Sports",2.04124145231932
"3DS","2011",58,55,6.3,29,"Nintendo","Children","Action",1.79605302026775
"DS","2008",84,5,6.1,31,"Nintendo","Children","Sports",2.88675134594813
"X360","2008",58,53,5.7,162,"Xbox","Teen & Up","Action",2.67261241912424
"PS2","2007",56,18,6.1,9,"Sony","Children","Action",1.58113883008419
"GBA","2004",62,4,7.8,8,"Nintendo","Children","Sports",1.69030850945703
"X","2004",78,44,6.5,11,"Xbox","Children","Sports",1.66666666666667
"3DS","2014",78,73,8.2,76,"Nintendo","Children","Sports",2.58198889747161
"X360","2013",82,46,7.8,361,"Xbox","Teen & Up","Action",1.82574185835055
"X360","2008",55,21,5.2,21,"Xbox","Children","Misc",1.92450089729875
"PS4","2016",84,39,8.5,221,"Sony","Teen & Up","Action",2.58198889747161
"X360","2007",73,41,8.1,21,"Xbox","Teen & Up","Misc",1.52498570332605
"PS3","2011",77,74,7.7,155,"Sony","Teen & Up","Sports",2.18217890235992
"X360","2008",72,71,7.5,147,"Xbox","Teen & Up","Action",2.1320071635561
"X360","2006",80,44,7.9,21,"Xbox","Children","Sports",1.50755672288882
"WiiU","2012",69,28,6.2,49,"Nintendo","Children","Action",2.42535625036333
"PS2","2003",81,26,8.2,19,"Sony","Teen & Up","Big-Brain",2.04124145231932
"DS","2007",73,8,5.9,10,"Nintendo","Children","Action",1.54303349962092
"WiiU","2015",58,58,5.3,133,"Nintendo","Children","Sports",2.67261241912424
"X360","2012",70,64,7,260,"Xbox","Teen & Up","Action",1.79605302026775
"PS3","2009",72,54,8.1,119,"Sony","Teen & Up","Action",2.23606797749979
"PS2","2000",82,11,7.9,17,"Sony","Children","Big-Brain",2.08514414057075
"XOne","2015",80,12,6.9,27,"Xbox","Children","Action",1.92450089729875
"Wii","2008",82,16,8.8,36,"Nintendo","Children","Misc",1.56173761888606
"GBA","2001",50,5,5.3,6,"Nintendo","Children","Sports",1.71498585142509
"X360","2012",83,45,4.4,177,"Xbox","Teen & Up","Action",1.76776695296637
"Wii","2011",68,42,7.5,24,"Nintendo","Children","Misc",2
"X","2005",81,30,5.1,11,"Xbox","Children","Sports",1.69030850945703
"X360","2006",72,49,6.6,33,"Xbox","Children","Sports",2.29415733870562
"XOne","2016",83,11,6.7,290,"Xbox","Teen & Up","Big-Brain",1.88982236504614
"PS2","2002",80,10,9.1,10,"Sony","Children","Sports",2.08514414057075
"DS","2006",65,34,5.9,22,"Nintendo","Children","Big-Brain",2.5
"PS2","2000",72,18,6.3,9,"Sony","Children","Big-Brain",2.67261241912424
"PS2","2002",61,19,8.7,13,"Sony","Teen & Up","Action",2.08514414057075
"X360","2012",67,30,6.5,132,"Xbox","Teen & Up","Action",1.88982236504614
"PS3","2007",60,29,6.9,16,"Sony","Teen & Up","Action",2.67261241912424
"Wii","2007",53,39,5.3,29,"Nintendo","Teen & Up","Action",1.54303349962092
"X360","2010",62,66,7.1,63,"Xbox","Teen & Up","Action",2.23606797749979
"PS3","2008",72,47,7.6,70,"Sony","Teen & Up","Action",2.08514414057075
"PS2","2001",90,59,8.8,337,"Sony","Teen & Up","Action",2.08514414057075
"X360","2008",82,47,7.6,95,"Xbox","Teen & Up","Action",2
"PS2","2002",54,7,7.1,16,"Sony","Children","Sports",2.08514414057075
"Wii","2009",68,22,6.2,6,"Nintendo","Children","Sports",2.29415733870562
"PS3","2009",79,48,7.9,98,"Sony","Teen & Up","Action",2.29415733870562
"Wii","2007",65,15,7.3,4,"Nintendo","Teen & Up","Big-Brain",1.56173761888606
"X360","2008",60,42,6.5,23,"Xbox","Children","Action",2.1320071635561
"PS2","2005",58,31,8,10,"Sony","Teen & Up","Sports",2.08514414057075
"3DS","2012",81,14,7.6,22,"Nintendo","Children","Action",2.23606797749979
"PS3","2012",59,36,4.3,24,"Sony","Children","Action",2.18217890235992
"X360","2008",82,64,7.9,61,"Xbox","Children","Big-Brain",2.5
"PS2","2006",69,19,8.5,8,"Sony","Children","Sports",2.08514414057075
"X","2006",74,19,7.4,11,"Xbox","Children","Sports",1.69030850945703
"X360","2007",66,57,7.5,156,"Xbox","Teen & Up","Big-Brain",1.56173761888606
"Wii","2008",41,12,4.2,15,"Nintendo","Children","Sports",2.67261241912424
"Wii","2010",48,26,6.8,13,"Nintendo","Children","Action",1.64398987305357
"PS2","2003",79,40,8.9,33,"Sony","Teen & Up","Sports",2.08514414057075
"Wii","2009",82,76,8.1,82,"Nintendo","Teen & Up","Action",1.76776695296637
"Wii","2009",79,56,8,226,"Nintendo","Teen & Up","Action",2.1320071635561
"GBA","2006",70,8,5.6,5,"Nintendo","Children","Action",1.74077655955698
"X360","2006",59,32,4.9,60,"Xbox","Children","Sports",1.52498570332605
"PS2","2005",46,15,8.2,20,"Sony","Children","Misc",1.60128153805087
"DS","2009",75,37,7.2,22,"Nintendo","Children","Big-Brain",2.88675134594813
"X360","2011",54,56,7.8,44,"Xbox","Teen & Up","Action",1.88982236504614
"XOne","2014",70,23,6.3,152,"Xbox","Teen & Up","Sports",1.82574185835055
"DS","2007",79,21,6.5,17,"Nintendo","Children","Action",1.56173761888606
"X360","2005",85,76,8.2,224,"Xbox","Teen & Up","Action",1.82574185835055
"PS2","2004",62,19,8.7,21,"Sony","Teen & Up","Action",2.08514414057075
"GC","2005",69,28,8.4,19,"Nintendo","Children","Misc",1.66666666666667
"GC","2004",85,54,9.1,143,"Nintendo","Teen & Up","Action",1.82574185835055
"Wii","2006",71,41,6.9,44,"Nintendo","Children","Sports",1.52498570332605
"PS2","2002",76,22,9.1,7,"Sony","Teen & Up","Sports",2.08514414057075
"PS3","2011",70,28,7,65,"Sony","Teen & Up","Big-Brain",1.96116135138184
